Thank you,"Please rate the experience with the chat bot<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('I am great ')"";>Excellent</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Thank you')"";>Good</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('I am Bad')"";>Bad</a><br>"
Thank you,"Please rate the experience with the chat bot<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('I am great ')"";>Excellent</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Thank you')"";>Good</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('I am Bad')"";>Bad</a><br>"
I am Bad,I'm sorry to hear that.Hopefully things will get better soon.
Thank you,"Please rate the experience with the chat bot<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('I am great ')"";>Excellent</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Thank you')"";>Good</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('I am Bad')"";>Bad</a><br>"
I am great ,"Thank you so much.<img src=""https://i.pinimg.com/474x/2b/11/5a/2b115adb901249d9fd7957de21397905.jpg"">"
I am Bad,I'm sorry to hear that.Hopefully things will get better soon.
Thank you,Good to hear from you.
Hello, 
About the college,"<a href=""https://www.mbcpeermade.com/Route-Map""MBC Location Map</a>"
hai,hello
Hello,Welcome To MBC CHAT BOT.How Can I Help you?
hai,hello
Courses offered,"There are mainly Five Streams in BTech,ie Computer Science and Engineering,Electrical and Electronics Engineering,Electronics and Communication Engineering,Civil Engineering,Mechanical Engineering."
about the college,"<a href=""https://www.mbcpeermade.com/Route-Map""MBC Location Map</a>"
